,product_code,product_label,2016,2017,2018,2019,2020,importer,exporter
225,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring . . .",0,0,0,0,,Afghanistan,Albania
226,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0,0,0,0,,Afghanistan,Albania
227,34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial . . .",0,0,0,0,,Afghanistan,Albania
228,35,Albuminoidal substances; modified starches; glues; enzymes,0,0,0,0,,Afghanistan,Albania
229,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,0,0,0,0,,Afghanistan,Albania
230,37,Photographic or cinematographic goods,0,0,0,0,,Afghanistan,Albania
231,38,Miscellaneous chemical products,0,0,0,0,,Afghanistan,Albania
232,39,Plastics and articles thereof,0,0,0,0,,Afghanistan,Albania
233,40,Rubber and articles thereof,0,0,0,0,,Afghanistan,Albania
234,41,Raw hides and skins (other than furskins) and leather,0,0,0,0,,Afghanistan,Albania
235,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles . . .",0,0,0,0,,Afghanistan,Albania
236,43,Furskins and artificial fur; manufactures thereof,0,0,0,0,,Afghanistan,Albania
237,44,Wood and articles of wood; wood charcoal,0,0,0,0,,Afghanistan,Albania
238,45,Cork and articles of cork,0,0,0,0,,Afghanistan,Albania
239,46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",0,0,0,0,,Afghanistan,Albania
240,47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or . . .,0,0,0,0,,Afghanistan,Albania
241,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",0,0,0,0,,Afghanistan,Albania
242,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, . . .",0,0,0,0,,Afghanistan,Albania
243,50,Silk,0,0,0,0,,Afghanistan,Albania
244,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0,0,0,0,,Afghanistan,Albania
245,52,Cotton,0,0,0,0,,Afghanistan,Albania
246,53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,0,0,0,0,,Afghanistan,Albania
247,54,Man-made filaments; strip and the like of man-made textile materials,0,0,0,0,,Afghanistan,Albania
248,55,Man-made staple fibres,0,0,0,0,,Afghanistan,Albania
249,56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",0,0,0,0,,Afghanistan,Albania
250,57,Carpets and other textile floor coverings,0,0,0,0,,Afghanistan,Albania
251,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,0,0,0,0,,Afghanistan,Albania
252,59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable . . .",0,0,0,0,,Afghanistan,Albania
253,60,Knitted or crocheted fabrics,0,0,0,0,,Afghanistan,Albania
254,61,"Articles of apparel and clothing accessories, knitted or crocheted",0,0,0,0,,Afghanistan,Albania
255,62,"Articles of apparel and clothing accessories, not knitted or crocheted",0,0,0,0,,Afghanistan,Albania
256,63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,0,0,0,0,,Afghanistan,Albania
257,64,"Footwear, gaiters and the like; parts of such articles",0,0,0,0,,Afghanistan,Albania
258,65,Headgear and parts thereof,0,0,0,0,,Afghanistan,Albania
259,66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",0,0,0,0,,Afghanistan,Albania
260,67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles . . .,0,0,0,0,,Afghanistan,Albania
261,68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",0,0,0,0,,Afghanistan,Albania
262,69,Ceramic products,0,0,0,0,,Afghanistan,Albania
263,70,Glass and glassware,0,0,0,0,,Afghanistan,Albania
